strain	strain_name	date	host	country	virus	subtype	type	sequence_locus
JN234470	KNIH_2K72142	2007-02-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234456	KNIH_2K73103	2007-03-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234471	KNIH_2K73103	2007-03-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234457	KNIH_2K73164	2007-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234472	KNIH_2K73164	2007-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234458	KNIH_2K80535	2008-01-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234473	KNIH_2K80535	2008-01-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234459	KNIH_2K82882	2008-03-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234474	KNIH_2K82882	2008-03-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234460	KNIH_2K84559	2008-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234475	KNIH_2K84559	2008-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234461	KNIH_2K84566	2008-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234476	KNIH_2K84566	2008-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234462	KNIH_2K85187	2008-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234477	KNIH_2K85187	2008-04-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234463	KNIH_2K85295	2008-05-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
JN234464	KNIH_2K85305	2008-05-XX	Human	South_Korea	Human_coronavirus_HKU1	hku1	beta	full
FJ937643	LZ112	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937644	LZ134	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937641	LZ20	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937645	LZ387	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937646	LZ391	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937647	LZ393	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937648	LZ394	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937642	LZ42	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937649	LZ431	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937650	LZ437	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937651	LZ439	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937652	LZ441	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937653	LZ442	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937654	LZ446	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937655	LZ447	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937656	LZ448	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937657	LZ450	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937658	LZ451	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
FJ937659	LZ487	NA	Human	China	Human_coronavirus_HKU1	hku1	beta	full
KY674921	N08_87	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
KY674943	N09_1605B	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
KY674942	N09_1627B	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
KY674941	N09_1663B	2016-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
AB514459	PHL07_1518	2007-XX-XX	Human	Philippines	Human_coronavirus_HKU1	hku1	beta	full
AB514460	PHL07_1656	2007-XX-XX	Human	Philippines	Human_coronavirus_HKU1	hku1	beta	full
KX898512	PREDICT_13QY028	2013-XX-XX	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130738	PUMCH1946	2006-03-28	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130739	PUMCH2446	2006-05-27	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130740	PUMCH2833	2006-07-19	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130741	PUMCH2967	2006-07-29	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130742	PUMCH2970	2006-07-29	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130743	PUMCH3340	2006-09-01	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130744	PUMCH4252	2006-12-19	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130745	PUMCH4949	2007-03-22	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130737	PUMCH570	2005-09-06	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130746	PUMCH6713	2008-02-15	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130747	PUMCH6767	2008-02-27	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130748	PUMCH6818	2008-06-04	Human	China	Human_coronavirus_HKU1	hku1	beta	full
HM130749	PUMCH8393	2009-04-21	Human	China	Human_coronavirus_HKU1	hku1	beta	full
JQ732200	QPID04_0022	2004-08-02	Human	Australia	Human_coronavirus_HKU1	hku1	beta	full
JQ732197	QPID04_0040	2004-07-20	Human	Australia	Human_coronavirus_HKU1	hku1	beta	full
JQ732198	QPID04_0041	2004-07-20	Human	Australia	Human_coronavirus_HKU1	hku1	beta	full
JQ732199	QPID04_0042	2004-07-22	Human	Australia	Human_coronavirus_HKU1	hku1	beta	full
JQ732201	QPID04_0043	2004-07-20	Human	Australia	Human_coronavirus_HKU1	hku1	beta	full
JQ732202	QPID04_0044	2004-07-16	Human	Australia	Human_coronavirus_HKU1	hku1	beta	full
MK167038	SC2521	2017-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
KY983584	SC2628	2015-XX-XX	Human	USA	Human_coronavirus_HKU1	hku1	beta	full
KC294427	SH_1	2012-XX-XX	Human	China	Human_coronavirus_HKU1	hku1	beta	full
KC294428	SH_2	2012-XX-XX	Human	China	Human_coronavirus_HKU1	hku1	beta	full
KC294429	SH_3	2012-XX-XX	Human	China	Human_coronavirus_HKU1	hku1	beta	full
MH940245	SI17244	2017-06-04	Human	Thailand	Human_coronavirus_HKU1	hku1	beta	full
KF668032	sloHKU1_1	2011-04-11	Human	Slovenia	Human_coronavirus_HKU1	hku1	beta	full
KM055607	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055627	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055632	1014A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055608	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055628	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055634	1023A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055609	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055629	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055635	1093A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
FJ656169	110104	2007-02-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656170	110105	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656171	110122	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656172	110123	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656173	110132	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656174	110138	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
KT359786	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359829	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359872	12MYKL0280	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359787	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359830	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359873	12MYKL0482	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359788	12MYKL0630	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359831	12MYKL0630	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359789	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359832	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359874	12MYKL0719	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359790	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359833	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359875	12MYKL0730	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359791	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359834	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359876	12MYKL0736	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359792	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359835	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359877	12MYKL0750	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359793	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359836	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359879	12MYKL0779	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359794	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359837	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359878	12MYKL0780	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359795	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359838	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359881	12MYKL0802	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359796	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359839	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359880	12MYKL0809	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359797	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359840	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359882	12MYKL0813	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359798	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359841	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359883	12MYKL0862	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359799	12MYKL0863	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359842	12MYKL0863	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359884	12MYKL0863	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359800	12MYKL0865	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359843	12MYKL0865	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359885	12MYKL0865	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359801	12MYKL0880	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359844	12MYKL0880	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359886	12MYKL0880	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359802	12MYKL0903	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359845	12MYKL0903	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359887	12MYKL0903	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359803	12MYKL0943	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359846	12MYKL0943	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359888	12MYKL0943	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359804	12MYKL0964	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359847	12MYKL0964	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359889	12MYKL0964	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359805	12MYKL0967	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359848	12MYKL0967	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359890	12MYKL0967	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359806	12MYKL1002	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359849	12MYKL1002	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359891	12MYKL1002	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359807	12MYKL1007	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359850	12MYKL1007	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359892	12MYKL1007	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359808	12MYKL1013	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359851	12MYKL1013	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359893	12MYKL1013	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359809	12MYKL1055	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359852	12MYKL1055	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359894	12MYKL1055	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359810	12MYKL1064	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359853	12MYKL1064	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359895	12MYKL1064	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359811	12MYKL1079	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359854	12MYKL1079	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359896	12MYKL1079	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359812	12MYKL1088	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359855	12MYKL1088	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359897	12MYKL1088	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359813	12MYKL1089	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359856	12MYKL1089	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359898	12MYKL1089	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359814	12MYKL1193	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359857	12MYKL1193	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359899	12MYKL1193	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359815	12MYKL1195	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359858	12MYKL1195	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359900	12MYKL1195	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359816	12MYKL1197	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359859	12MYKL1197	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359901	12MYKL1197	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359817	12MYKL1229	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359860	12MYKL1229	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359902	12MYKL1229	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359818	12MYKL1238	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359861	12MYKL1238	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359903	12MYKL1238	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359819	12MYKL1253	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359862	12MYKL1253	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359905	12MYKL1253	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359820	12MYKL1288	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359863	12MYKL1288	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359904	12MYKL1288	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359821	12MYKL1336	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359864	12MYKL1336	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359906	12MYKL1336	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359822	12MYKL1337	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359865	12MYKL1337	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359907	12MYKL1337	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359823	12MYKL1350	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359866	12MYKL1350	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359908	12MYKL1350	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359824	12MYKL1528	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359867	12MYKL1528	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359909	12MYKL1528	2012-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359825	13MYKL1791	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359868	13MYKL1791	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359910	13MYKL1791	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359826	13MYKL1797	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359869	13MYKL1797	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359911	13MYKL1797	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359827	13MYKL1870	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359870	13MYKL1870	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359912	13MYKL1870	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359828	13MYKL2005	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359871	13MYKL2005	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KT359913	13MYKL2005	2013-XX-XX	Human	Malaysia	Human_coronavirus_NL63	nl63	alpha	full
KM055591	180A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055612	180A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055638	180A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055592	188A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055613	188A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055647	188A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055593	197A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055614	197A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055639	197A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055610	2093A_2010	2010-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055631	2093A_2010	2010-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055633	2093A_2010	2010-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055594	225A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055615	225A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055640	225A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055595	236A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055616	236A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055641	236A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055596	277A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055617	277A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055642	277A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
FJ656153	37201	2006-02-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656154	37214	2006-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656155	37261	2006-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656156	37300	2006-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
KM055597	374A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055618	374A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055644	374A_2007	2007-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
FJ656157	41620	2007-02-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656158	41633	2007-02-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656159	41645	2007-02-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656160	41687	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656161	41836	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656162	41898	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656163	41946	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656164	41988	2007-03-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656165	42073	2007-04-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656166	42174	2007-04-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
FJ656167	42234	2007-05-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
KM055598	909A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055619	909A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055645	909A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055599	930A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055620	930A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055650	930A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055600	940A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055621	940A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055636	940A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055601	945A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055622	945A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055637	945A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
FJ656168	95343	2006-12-XX	Human	Sweden	Human_coronavirus_NL63	nl63	alpha	full
KM055602	954A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055623	954A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055648	954A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055603	971A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055624	971A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055643	971A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055604	990A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055625	990A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
KM055646	990A_2008	2008-XX-XX	Human	China	Human_coronavirus_NL63	nl63	alpha	full
